country_name,year,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,e_pop
Afghanistan,2021,0.158,0.043,0.048,-0.215,2,-0.999,2,-0.965,2,0.278,3,-1.024,2,0.479,4,-2.055,0,6,7,,-1.142,-1.634,-2.53,2,1,-1,6775.201,3884.685
Albania,2021,0.489,0.41,0.302,-0.183,2,-0.004,3,-1.038,1,0.323,4,-0.297,2,1.195,4,1.034,2,3,3,9,-0.556,-0.003,0.109,0,9,9,3489.639,309.72
Algeria,2021,0.281,0.138,0.111,1.829,3,-1.68,1,1.56,4,-1.397,1,-2.154,1,-1.251,2,-1.294,1,5,6,6,-0.614,-0.621,-0.876,1,3,2,52143.253,4491.912
Angola,2021,0.342,0.168,0.093,0.225,2,1.048,3,0.172,3,0.406,4,-0.094,2,0.906,4,0.977,2,5,6,5,-0.655,-1.059,-0.711,4,2,-2,16911.415,3137.989
Argentina,2021,0.811,0.657,0.551,-0.294,2,2.367,4,-1.401,1,1.926,4,0.832,3,1.811,4,2.636,3,2,2,10,-0.401,-0.357,-0.106,0,9,9,78294.101,4740.302
Armenia,2021,0.726,0.541,0.457,-0.173,2,1.06,3,0.658,4,1.47,4,0.731,3,1.129,4,0.957,2,4,4,6,0.072,-0.25,-0.836,0,7,7,3903.072,317.193
Australia,2021,0.849,0.804,0.609,0.283,2,2.05,4,-0.491,2,1.327,4,1.471,3,1.571,4,1.501,3,1,1,15,1.737,1.513,0.851,0,10,10,127644.165,2657.018
Austria,2021,0.827,0.751,0.588,-0.609,1,1.966,4,-0.379,2,1.759,4,0.974,3,2.049,4,2.57,3,1,1,15,1.271,1.57,0.915,0,10,10,44063.031,954.496
Azerbaijan,2021,0.196,0.066,0.062,1.75,3,-1.872,1,1.997,4,-0.647,3,-2.425,1,-0.461,3,-1.411,1,7,7,0,-0.828,0.248,-0.853,7,0,-7,15070.419,1062.074
Bahrain,2021,0.121,0.054,0.036,2.555,3,-2.336,1,1.402,4,-0.913,4,-1.837,1,-0.906,3,-2.9,0,6,7,1,0.168,0.717,-0.505,10,0,-10,5134.856,170.996
Bangladesh,2021,0.263,0.103,0.124,2.211,3,-0.996,2,1.598,4,-1.287,2,-2.536,1,-2.549,1,-2.319,0,5,5,4,-0.962,-0.627,-0.97,6,0,-6,72500.862,17480.99
Barbados,2021,0.794,0.678,0.349,-1.044,1,1.375,4,-1.656,1,1.827,4,0.952,3,1.151,4,1.82,3,1,1,14,1.243,0.538,1.122,,,,549.399,30.742
Belarus,2021,0.176,0.038,0.061,2.164,3,-2.055,1,1.329,4,-2.729,2,-2.231,1,0.11,3,-1.562,1,7,7,1,-0.235,-0.771,-0.737,7,0,-7,21019.499,1010.732
Belgium,2021,0.893,0.82,0.636,0.135,2,2.601,4,-0.81,2,1.903,4,0.71,3,2.07,4,2.677,3,1,1,15,1.484,1.125,0.613,0,8,8,54009.824,1222.543
Benin,2021,0.418,0.289,0.252,1.283,3,1.451,4,2.207,4,1.273,4,-0.397,2,1.036,4,-0.191,2,3,5,11,-0.155,-0.207,-0.301,0,7,7,3642.139,1256.414
Bhutan,2021,0.571,0.476,0.359,-0.863,1,-1.191,2,0.063,3,-1.645,2,-1.435,1,-0.839,3,-1.251,1,4,3,8,1.554,0.796,0.973,0,7,7,922.146,80.629
Bolivia,2021,0.604,0.357,0.426,-0.573,1,0.682,3,-0.601,2,1.09,4,-0.281,2,0.818,4,0.274,2,3,3,6,-0.864,-0.732,-0.319,0,7,7,7515.218,1219.907
Bosnia and Herzegovina,2021,0.519,0.357,0.316,-1.319,1,1.894,4,-1.265,1,1.825,4,1.46,3,0.736,4,0.823,2,4,4,7,-0.644,-1.041,-0.381,,,,4424.334,369.319
Botswana,2021,0.596,0.485,0.401,0.585,2,2.048,4,-0.054,3,1.784,4,2.428,4,1.787,4,0.431,2,2,3,11,0.685,0.354,0.978,0,8,8,3657.626,242.45
Brazil,2021,0.667,0.513,0.416,-0.719,1,-0.21,3,-1.531,1,1.638,4,0.031,3,0.534,4,1.052,2,3,2,8,-0.478,-0.46,-0.485,0,8,8,264001.025,22468.938
Bulgaria,2021,0.667,0.555,0.488,-0.179,2,2.066,4,-1.226,1,1.899,4,1.397,3,1.435,4,1.677,3,2,2,10,-0.236,-0.139,0.458,0,9,9,15092.22,754.94
Burkina Faso,2021,0.628,0.428,0.345,1.775,3,-0.699,2,2.053,4,-2.109,2,-1.798,1,-0.785,3,-1.007,1,4,4,5,-0.059,-0.726,-1.639,1,7,6,4820.357,2111.441
Burundi,2021,0.18,0.07,0.091,-0.913,1,-0.68,2,0.828,4,-0.272,2,-0.983,2,-0.984,3,-2.822,0,6,7,1,-1.581,-1.331,-1.364,3,2,-1,880.324,1198.587
Cambodia,2021,0.197,0.065,0.119,0.294,2,-2.489,0,-0.519,2,0.512,4,-1.021,2,-0.836,3,-2.131,0,5,7,3,-1.177,-0.423,-0.132,4,0,-4,7378.133,1743.761
Cameroon,2021,0.291,0.123,0.114,1.393,3,0.39,3,1.672,4,-0.026,3,-0.875,2,-1.532,2,-1.261,1,6,6,0,-1.093,-0.875,-1.407,5,1,-4,8275.055,2738.934
Canada,2021,0.851,0.747,0.603,0.965,3,1.955,4,-0.319,3,1.848,4,1.707,4,1.991,4,2.443,3,1,1,15,1.646,1.604,0.937,0,10,10,185709.16,3966.532
Cape Verde,2021,0.773,0.676,0.489,-1.151,1,1.619,4,-1.301,1,0.706,4,2.127,4,1.15,4,1.563,3,1,1,14,1.035,0.043,0.902,0,10,10,379.199,58.604
CAR,2021,0.334,0.175,0.141,-1.215,1,0.401,3,1.41,4,0.914,4,0.719,3,1.114,4,-0.465,1,7,7,1,-1.226,-1.644,-2.105,1,7,6,429.651,520.022
Chad,2021,0.189,0.051,0.117,0.296,2,-1.7,1,1.832,4,-2.097,1,-0.631,2,-1.111,2,-1.55,1,6,7,1,-1.478,-1.424,-1.336,3,1,-2,2801.034,1632.831
Chile,2021,0.836,0.779,0.59,1.129,3,1.183,4,-0.624,2,1.893,4,1.382,3,1.199,4,1.58,3,1,1,13,0.984,0.626,0.063,0,10,10,46133.749,1986.084
China,2021,0.077,0.039,0.042,2.002,3,-2.871,0,1.967,4,-0.538,2,-3.169,0,-2.467,1,-2.328,0,6,7,2,0.054,0.841,-0.482,7,0,-7,2279809.269,148256.418
Colombia,2021,0.646,0.485,0.425,-0.574,1,0.882,3,-0.35,3,0.25,4,-1.989,1,-0.135,3,0.581,2,3,3,9,-0.344,-0.015,-0.914,0,7,7,71716.256,5254.651
Comoros,2021,0.293,0.113,0.209,1.196,3,-0.305,3,1.741,4,-0.041,4,-0.412,2,-0.116,3,-0.547,1,4,5,6,-1.287,-1.79,-0.227,3,0,-3,241.308,89.147
Congo,2021,0.245,0.108,0.193,1.944,3,-1.876,1,1.102,4,-1.01,3,-1.069,1,-1.081,2,-1.709,1,6,7,1,-1.373,-1.551,-0.607,4,0,-4,1727.733,566.242
Costa Rica,2021,0.898,0.85,0.648,-1.357,1,1.192,4,-0.591,2,1.83,4,2.387,4,1.091,4,1.887,3,1,1,13,0.496,0.257,0.873,0,10,10,9315.616,532.679
Croatia,2021,0.754,0.65,0.524,-1.479,1,1.767,4,-1.313,1,1.27,4,1.133,3,1.897,4,1.078,2,2,1,11,0.061,0.591,0.708,0,9,9,10274.587,438.484
Cuba,2021,0.179,0.057,0.088,2.178,3,-3.255,0,1.747,4,-1.366,2,-2.156,1,-0.916,3,-2.536,0,6,7,2,-0.01,-0.215,0.427,6,1,-5,10849.993,1206.494
Cyprus,2021,0.792,0.648,0.507,-1.939,1,1.976,4,-1.548,1,1.922,4,1.491,4,1.07,4,1.469,3,1,1,15,0.395,0.736,0.443,0,10,10,3399.893,108.579
Czechia,2021,0.805,0.716,0.532,-1.857,1,1.918,4,-1.774,1,1.908,4,1.201,3,1.623,4,2.555,3,1,1,14,0.641,1.11,0.958,0,9,9,41102.541,1141.661
Denmark,2021,0.915,0.885,0.694,-1.096,1,2.365,4,0.918,4,1.8,4,2.109,4,1.93,4,2.571,3,1,1,14,2.366,2.004,0.95,0,10,10,30092.86,620.948
