infrastructure_type_id,secondary_infrastructure_type_id,country_id,year_commenced,Primary topic,Secondary (if needed)
1 | R&D lab,,103 | India,1999,,
5 | Overseas Office,10 | Subsidiary,93 | Hong Kong,2000,,
10 | Subsidiary,,93 | Hong Kong,2000,,
5 | Overseas Office,10 | Subsidiary,228 | United States,2001,,
10 | Subsidiary,,52 | Cyprus,2001,,
15 | Telecommunications or ICT,,114 | Kyrgyzstan,2001,,
15 | Telecommunications or ICT,,161 | Nigeria,2002,5 | Chinese state loan,
15 | Telecommunications or ICT,,62 | Egypt,2002,,
15 | Telecommunications or ICT,,161 | Nigeria,2002,5 | Chinese state loan,
10 | Subsidiary,,228 | United States,2002,,
15 | Telecommunications or ICT,,188 | Russia,2003,5 | Chinese state loan,
3 | Research partnership,,29 | Brazil,2003,,
15 | Telecommunications or ICT,,186 | Romania,2003,,
15 | Telecommunications or ICT,,186 | Romania,2003,,
15 | Telecommunications or ICT,,186 | Romania,2003,5 | Chinese state loan,
5 | Overseas Office,,93 | Hong Kong,2003,1 | Artificial Intelligence,
5 | Overseas Office,,112 | Japan,2003,1 | Artificial Intelligence,
15 | Telecommunications or ICT,,86 | Greece,2004,,
15 | Telecommunications or ICT,,99 | Indonesia,2004,,
15 | Telecommunications or ICT,,175 | Pakistan,2004,,
15 | Telecommunications or ICT,,93 | Hong Kong,2004,,
15 | Telecommunications or ICT,,19 | Bangladesh,2004,,
15 | Telecommunications or ICT,,186 | Romania,2004,5 | Chinese state loan,
15 | Telecommunications or ICT,,244 | Zambia,2004,5 | Chinese state loan,
10 | Subsidiary,,145 | Macau,2004,,
15 | Telecommunications or ICT,12 | 5G,230 | Uzbekistan,2005,5 | Chinese state loan,3 | 5G
15 | Telecommunications or ICT,,113 | Kenya,2005,5 | Chinese state loan,
15 | Telecommunications or ICT,,115 | Cambodia,2005,,
15 | Telecommunications or ICT,,202 | Senegal,2005,5 | Chinese state loan,
5 | Overseas Office,,45 | Cameroon,2005,,
7 | Investment or joint venture,,93 | Hong Kong,2005,,
15 | Telecommunications or ICT,,9 | Angola,2005,,
15 | Telecommunications or ICT,,9 | Angola,2005,,
15 | Telecommunications or ICT,,218 | Tunisia,2005,,
1 | R&D lab,,175 | Pakistan,2005,,
1 | R&D lab,5 | Overseas Office,228 | United States,2005,,
15 | Telecommunications or ICT,,79 | Ghana,2005,,
15 | Telecommunications or ICT,,193 | Sudan,2005,5 | Chinese state loan,
15 | Telecommunications or ICT,,214 | Tajikistan,2005,,
15 | Telecommunications or ICT,,47 | Colombia,2005,,
15 | Telecommunications or ICT,,39 | Central African Republic,2005,5 | Chinese state loan,
15 | Telecommunications or ICT,,64 | Eritrea,2005,5 | Chinese state loan,
15 | Telecommunications or ICT,,124 | Laos,2005,,
