year,sub_event_type,country
2020,Excessive force against protesters,Afghanistan
2020,Excessive force against protesters,Afghanistan
2020,Excessive force against protesters,Afghanistan
2019,Excessive force against protesters,Afghanistan
2019,Excessive force against protesters,Afghanistan
2019,Excessive force against protesters,Afghanistan
2019,Excessive force against protesters,Afghanistan
2018,Excessive force against protesters,Afghanistan
2018,Excessive force against protesters,Afghanistan
2018,Excessive force against protesters,Afghanistan
2017,Excessive force against protesters,Afghanistan
2019,Excessive force against protesters,Algeria
2018,Excessive force against protesters,Algeria
2017,Excessive force against protesters,Algeria
2017,Excessive force against protesters,Algeria
2017,Excessive force against protesters,Algeria
2017,Excessive force against protesters,Algeria
2016,Excessive force against protesters,Algeria
2016,Excessive force against protesters,Algeria
2015,Excessive force against protesters,Algeria
2014,Excessive force against protesters,Algeria
2014,Excessive force against protesters,Algeria
2014,Excessive force against protesters,Algeria
2014,Excessive force against protesters,Algeria
2014,Excessive force against protesters,Algeria
2013,Excessive force against protesters,Algeria
2013,Excessive force against protesters,Algeria
2013,Excessive force against protesters,Algeria
2012,Excessive force against protesters,Algeria
2012,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2011,Excessive force against protesters,Algeria
2020,Excessive force against protesters,Angola
2020,Excessive force against protesters,Angola
2020,Excessive force against protesters,Angola
2020,Excessive force against protesters,Angola
2020,Excessive force against protesters,Angola
2019,Excessive force against protesters,Angola
2019,Excessive force against protesters,Angola
2019,Excessive force against protesters,Angola
2018,Excessive force against protesters,Angola
2018,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2017,Excessive force against protesters,Angola
2016,Excessive force against protesters,Angola
2016,Excessive force against protesters,Angola
2016,Excessive force against protesters,Angola
2016,Excessive force against protesters,Angola
2016,Excessive force against protesters,Angola
2014,Excessive force against protesters,Angola
2014,Excessive force against protesters,Angola
2013,Excessive force against protesters,Angola
2013,Excessive force against protesters,Angola
2020,Excessive force against protesters,Argentina
2020,Excessive force against protesters,Argentina
2020,Excessive force against protesters,Argentina
2020,Excessive force against protesters,Argentina
2019,Excessive force against protesters,Argentina
2018,Excessive force against protesters,Argentina
2018,Excessive force against protesters,Argentina
2018,Excessive force against protesters,Argentina
2018,Excessive force against protesters,Argentina
2020,Excessive force against protesters,Armenia
2019,Excessive force against protesters,Armenia
2018,Excessive force against protesters,Armenia
2020,Excessive force against protesters,Azerbaijan
2019,Excessive force against protesters,Bahrain
2018,Excessive force against protesters,Bahrain
2018,Excessive force against protesters,Bahrain
2017,Excessive force against protesters,Bahrain
2017,Excessive force against protesters,Bahrain
2017,Excessive force against protesters,Bahrain
2017,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2016,Excessive force against protesters,Bahrain
2020,Excessive force against protesters,Bangladesh
2020,Excessive force against protesters,Bangladesh
2020,Excessive force against protesters,Bangladesh
2020,Excessive force against protesters,Bangladesh
2019,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2018,Excessive force against protesters,Bangladesh
2016,Excessive force against protesters,Bangladesh
2016,Excessive force against protesters,Bangladesh
2016,Excessive force against protesters,Bangladesh
2015,Excessive force against protesters,Bangladesh
2015,Excessive force against protesters,Bangladesh
2015,Excessive force against protesters,Bangladesh
2015,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2014,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2013,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2012,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2011,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2010,Excessive force against protesters,Bangladesh
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belarus
2018,Excessive force against protesters,Belarus
2018,Excessive force against protesters,Belarus
2018,Excessive force against protesters,Belarus
2018,Excessive force against protesters,Belarus
2018,Excessive force against protesters,Belarus
2020,Excessive force against protesters,Belize
2016,Excessive force against protesters,Benin
2016,Excessive force against protesters,Benin
2010,Excessive force against protesters,Benin
2020,Excessive force against protesters,Bolivia
2018,Excessive force against protesters,Bolivia
2020,Excessive force against protesters,Brazil
2020,Excessive force against protesters,Brazil
2020,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2019,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2018,Excessive force against protesters,Brazil
2017,Excessive force against protesters,Burkina Faso
2015,Excessive force against protesters,Burkina Faso
2015,Excessive force against protesters,Burkina Faso
2015,Excessive force against protesters,Burkina Faso
2014,Excessive force against protesters,Burkina Faso
2014,Excessive force against protesters,Burkina Faso
2019,Excessive force against protesters,Burundi
2016,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2015,Excessive force against protesters,Burundi
2020,Excessive force against protesters,Cambodia
2020,Excessive force against protesters,Cambodia
2020,Excessive force against protesters,Cambodia
2020,Excessive force against protesters,Cambodia
2019,Excessive force against protesters,Cambodia
2018,Excessive force against protesters,Cambodia
2016,Excessive force against protesters,Cambodia
2016,Excessive force against protesters,Cambodia
2015,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2014,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2013,Excessive force against protesters,Cambodia
2012,Excessive force against protesters,Cambodia
2012,Excessive force against protesters,Cambodia
2012,Excessive force against protesters,Cambodia
2012,Excessive force against protesters,Cambodia
2012,Excessive force against protesters,Cambodia
