,year,country,5G,Cable Terrestrial,Commercial partnership,Data centre,Facial recognition,Investment or joint venture,Investor,Manufacturing facility,MoU-agreement,Overseas Office,R&D lab,Research partnership,Satellite calibration centre,Smart cities,Subsidiary,Surveillance equipment,Telecommunications or ICT,Training,Artificial Intelligence,Biotech,Chinese state loan,Surveillance,v2x_polyarchy,v2x_libdem,v2x_partipdem,v2smgovfilcap,v2smgovfilcap_ord,v2smgovfilprc,v2smgovfilprc_ord,v2smgovshutcap,v2smgovshutcap_ord,v2smgovshut,v2smgovsm_ord,v2smgovsmmon,v2smgovsmmon_ord,v2smgovsmcenprc,v2smgovsmcenprc_ord,v2smarrest,v2smarrest_ord,e_fh_cl,e_fh_pr,e_fh_rol,e_wbgi_cce,e_wbgi_gee,e_wbgi_pve,e_autoc,e_democ,e_p_polity,e_gdp,force_count,peaceful_count,intervention_count
0,2010,AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.082,0.022,1.181,3.0,-2.646,0.0,-0.007,3.0,-0.765,2.0,-1.937,1.0,-2.332,1.0,-1.823,0.0,5.0,6.0,4.0,0.891,0.893,0.802,8.0,0.0,-8.0,52870.586,0.0,0.0,0.0
1,2010,AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.226,0.149,-0.436,1.0,-0.403,2.0,-1.172,1.0,0.273,3.0,0.526,3.0,0.658,4.0,0.898,2.0,6.0,6.0,2.0,-1.645,-1.481,-2.579,-66.0,-66.0,-66.0,4817.654,0.0,0.0,0.0
2,2010,AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.336,0.191,0.187,-0.465,1.0,0.709,3.0,0.577,4.0,1.989,4.0,1.196,3.0,1.796,4.0,1.227,2.0,4.0,6.0,6.0,-0.695,-0.166,0.072,0.0,5.0,5.0,2585.193,0.0,0.0,0.0
3,2010,AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.104,0.069,-0.034,2.0,0.854,3.0,0.172,3.0,0.41,4.0,-0.403,2.0,1.056,4.0,0.586,2.0,5.0,6.0,4.0,-1.332,-1.142,-0.226,4.0,2.0,-2.0,12808.053,0.0,0.0,0.0
4,2010,AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.776,0.61,0.524,-0.294,2.0,2.157,4.0,-0.98,2.0,1.926,4.0,1.118,3.0,1.881,4.0,2.265,3.0,2.0,2.0,10.0,-0.355,-0.111,-0.085,0.0,8.0,8.0,71367.171,0.0,0.0,0.0
5,2010,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.867,0.795,0.624,-1.012,1.0,1.966,4.0,-1.321,1.0,1.759,4.0,2.335,4.0,2.049,4.0,2.57,3.0,1.0,1.0,15.0,1.596,1.812,1.153,0.0,10.0,10.0,37223.048,0.0,0.0,0.0
6,2010,AU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.857,0.639,0.498,2.0,2.137,4.0,-0.215,3.0,1.869,4.0,1.531,4.0,1.571,4.0,1.501,3.0,1.0,1.0,14.0,2.024,1.763,0.889,0.0,10.0,10.0,106604.36,0.0,0.0,0.0
7,2010,BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.584,0.402,0.344,-1.505,1.0,1.894,4.0,-1.021,2.0,1.825,4.0,2.025,4.0,0.736,4.0,1.038,2.0,3.0,4.0,10.0,-0.336,-0.738,-0.694,-66.0,-66.0,-66.0,3643.334,0.0,0.0,0.0
9,2010,BD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.43,0.177,0.205,1.682,3.0,-0.903,2.0,1.598,4.0,-1.286,2.0,-1.412,1.0,-1.999,2.0,-1.592,1.0,4.0,3.0,7.0,-1.054,-0.753,-1.426,1.0,6.0,5.0,40328.83,11.0,470.0,95.0
10,2010,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.831,0.642,0.239,2.0,2.601,4.0,-0.81,2.0,1.903,4.0,1.326,3.0,1.551,4.0,2.677,3.0,1.0,1.0,15.0,1.474,1.654,0.811,0.0,8.0,8.0,46641.417,0.0,0.0,0.0
11,2010,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.686,0.583,0.439,-0.454,1.0,2.066,4.0,-1.226,1.0,1.899,4.0,1.883,4.0,1.827,4.0,2.36,3.0,2.0,2.0,11.0,-0.237,-0.07,0.36,0.0,9.0,9.0,12147.885,0.0,0.0,0.0
12,2010,BH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.223,0.086,0.108,0.983,3.0,-1.757,1.0,1.402,4.0,-1.012,4.0,-2.161,1.0,-1.006,3.0,-1.91,0.0,5.0,6.0,1.0,0.179,0.452,-0.493,6.0,1.0,-5.0,3969.247,0.0,0.0,0.0
